FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H11.Day3,H11,After_Diet,3,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H11.Day7,H11,After_Diet,7,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H12.Day1,H12,After_Diet,1,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H12.Day3,H12,After_Diet,3,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H12.Day7,H12,After_Diet,7,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H13.Day1,H13,After_Diet,1,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H13.Day3,H13,After_Diet,3,0,0
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H13.Day7,H13,After_Diet,7,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G11.Day1,G11,Before_Diet,1,563,0.04075575503112784
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G11.Day3,G11,Before_Diet,3,535,0.04122360918477423
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G12.Day1,G12,Before_Diet,1,412,0.03656372026979056
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G12.Day3,G12,Before_Diet,3,573,0.05250137438152831
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G12.Day7,G12,Before_Diet,7,233,0.022373727674284617
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G21.Day1,G21,Before_Diet,1,609,0.05100929726107714
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G21.Day3,G21,Before_Diet,3,732,0.047702834799609
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.G21.Day7,G21,Before_Diet,7,1027,0.06604926361823911
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H11.Day1,H11,After_Diet,1,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H11.Day3,H11,After_Diet,3,150,0.01072041166380789
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H11.Day7,H11,After_Diet,7,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H12.Day1,H12,After_Diet,1,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H12.Day3,H12,After_Diet,3,337,0.024987024542151702
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H12.Day7,H12,After_Diet,7,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H13.Day1,H13,After_Diet,1,0,0
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H13.Day3,H13,After_Diet,3,636,0.048968278410840775
6521f34e85eb9034e3bd9d4e58dff50a,MOUSE.H13.Day7,H13,After_Diet,7,408,0.034523608055508546
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G11.Day1,G11,Before_Diet,1,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G11.Day3,G11,Before_Diet,3,9,6.934812760055479e-4
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G12.Day1,G12,Before_Diet,1,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G12.Day3,G12,Before_Diet,3,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
0e1ecedf64d4390cd454c96039e9767d,MOUSE.G21.Day1,G21,Before_Diet,1,0,0
